"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,414,053","100"
"2","youtube.com","22,346,637","100"
"3","www.google.com","14,187,458","100"
"4","www.blogger.com","29,657,132","99"
"5","support.google.com","5,320,969","99"
"6","microsoft.com","5,137,317","99"
"7","play.google.com","3,790,055","99"
"8","linkedin.com","11,736,219","99"
"9","mozilla.org","2,366,654","98"
"10","cloudflare.com","6,344,310","98"
"11","maps.google.com","5,820,292","98"
"12","youtu.be","5,081,131","98"
"13","docs.google.com","3,247,025","98"
"14","en.wikipedia.org","6,924,340","98"
"15","wordpress.org","11,796,875","98"
"16","sites.google.com","2,175,755","97"
"17","whatsapp.com","3,520,905","97"
"18","googleusercontent.com","3,289,209","97"
"19","europa.eu","2,183,445","97"
"20","adobe.com","2,855,838","97"
"21","bp.blogspot.com","17,748,995","97"
"22","accounts.google.com","2,561,218","97"
"23","plus.google.com","11,262,352","97"
"24","drive.google.com","2,385,790","97"
"25","github.com","2,803,377","96"
"26","uol.com.br","684,701","96"
"27","vk.com","1,779,318","96"
"28","istockphoto.com","3,582,880","96"
"29","t.me","1,146,608","96"
"30","amazon.com","4,920,385","96"
"31","facebook.com","58,276,159","96"
"32","es.wikipedia.org","956,789","96"
"33","vimeo.com","3,532,579","96"
"34","news.google.com","786,419","95"
"35","search.google.com","1,421,897","95"
"36","pt.wikipedia.org","416,948","95"
"37","fr.wikipedia.org","633,031","95"
"38","who.int","1,998,657","95"
"39","brandbucket.com","11,185,839","95"
"40","feedburner.com","1,800,660","95"
"41","bbc.co.uk","1,735,998","95"
"42","dailymotion.com","1,138,115","95"
"43","google.es","476,122","95"
"44","nih.gov","1,433,314","95"
"45","imdb.com","1,513,153","95"
"46","paypal.com","1,116,339","95"
"47","creativecommons.org","1,724,508","95"
"48","wikimedia.org","2,020,700","95"
"49","files.wordpress.com","7,640,998","95"
"50","ok.ru","361,005","95"
"51","policies.google.com","2,558,153","95"
"52","nytimes.com","2,177,095","95"
"53","line.me","866,773","95"
"54","gstatic.com","623,882","95"
"55","slideshare.net","1,006,718","95"
"56","issuu.com","992,146","95"
"57","google.de","1,127,519","95"
"58","jimdofree.com","1,718,796","95"
"59","live.com","921,100","95"
"60","google.com.br","295,999","95"
"61","google.co.jp","658,016","95"
"62","developers.google.com","1,112,711","95"
"63","cnn.com","1,627,947","95"
"64","bbc.com","911,360","95"
"65","dan.com","3,668,835","95"
"66","www.yahoo.com","1,339,467","95"
"67","theguardian.com","1,572,327","95"
"68","buydomains.com","1,074,248","95"
"69","tools.google.com","1,721,992","95"
"70","globo.com","449,480","95"
"71","medium.com","1,716,088","95"
"72","enable-javascript.com","8,822,248","95"
"73","forbes.com","1,412,006","95"
"74","reuters.com","931,850","95"
"75","www.weebly.com","5,086,791","95"
"76","youronlinechoices.com","573,745","95"
"77","gravatar.com","12,268,016","95"
"78","dropbox.com","1,098,797","95"
"79","wp.com","2,068,300","94"
"80","amazon.es","190,286","94"
"81","marketingplatform.google....","858,406","94"
"82","mirror.co.uk","412,032","94"
"83","myspace.com","1,381,215","94"
"84","plesk.com","701,263","94"
"85","booking.com","404,087","94"
"86","namecheap.com","1,129,474","94"
"87","forms.gle","732,938","94"
"88","draft.blogger.com","10,875,340","94"
"89","archive.org","1,170,737","94"
"90","nature.com","610,510","94"
"91","abril.com.br","273,916","94"
"92","soundcloud.com","1,826,281","94"
"93","google.pl","197,292","94"
"94","huffingtonpost.com","1,088,312","94"
"95","storage.googleapis.com","832,875","94"
"96","scribd.com","769,237","94"
"97","cpanel.net","1,697,622","94"
"98","usatoday.com","857,019","94"
"99","twitter.com","59,423,986","94"
"100","android.com","314,967","94"
"101","independent.co.uk","765,362","94"
"102","ig.com.br","157,403","94"
"103","estadao.com.br","134,700","94"
"104","networkadvertising.org","730,898","94"
"105","pixabay.com","469,374","94"
"106","office.com","549,397","94"
"107","yandex.ru","1,022,562","94"
"108","businessinsider.com","877,017","94"
"109","cbsnews.com","637,785","94"
"110","tiktok.com","601,146","94"
"111","4shared.com","560,681","94"
"112","opera.com","930,236","94"
"113","amazon.co.uk","780,207","94"
"114","mail.google.com","495,166","94"
"115","foxnews.com","586,325","94"
"116","w3.org","1,133,074","94"
"117","msn.com","1,106,387","94"
"118","google.ru","199,822","94"
"119","tinyurl.com","1,426,079","94"
"120","cdc.gov","896,710","94"
"121","aliexpress.com","518,141","94"
"122","photos.google.com","278,568","94"
"123","change.org","499,771","94"
"124","myaccount.google.com","351,893","94"
"125","domainmarket.com","1,069,892","94"
"126","amazon.de","556,840","94"
"127","telegram.me","365,830","94"
"128","www.gov.uk","626,527","94"
"129","bloomberg.com","855,361","94"
"130","time.com","826,708","94"
"131","wa.me","1,223,111","94"
"132","indiatimes.com","478,650","94"
"133","aboutads.info","611,084","94"
"134","huffpost.com","1,209,453","94"
"135","get.google.com","647,469","94"
"136","nasa.gov","680,412","94"
"137","webmd.com","759,869","94"
"138","google.co.uk","600,196","94"
"139","goo.gl","4,676,340","94"
"140","sedo.com","2,226,726","94"
"141","cnet.com","736,088","94"
"142","thesun.co.uk","415,951","94"
"143","mail.ru","484,371","94"
"144","wikia.com","510,517","94"
"145","hatena.ne.jp","1,506,874","94"
"146","telegraph.co.uk","1,000,877","94"
"147","pinterest.com","8,553,324","94"
"148","netvibes.com","1,217,763","94"
"149","amazon.co.jp","859,548","94"
"150","terra.com.br","201,841","94"
"151","shopify.com","2,424,372","94"
"152","wsj.com","982,368","94"
"153","mediafire.com","859,413","94"
"154","bit.ly","4,875,450","94"
"155","de.wikipedia.org","675,442","94"
"156","washingtonpost.com","1,162,690","94"
"157","wired.com","687,020","94"
"158","t.co","2,130,760","94"
"159","cpanel.com","1,164,290","94"
